IMPUTATION;ANNEE;CATEGORIE;TITRE;ADRESSE URL;icon
SOFAB;2016;Sophia Conf 2016;TOCS - SIEGES CONNECTES Questions;https://www.youtube.com/watch?v=ntbTrg2du3U;
SOFAB;2016;Sophia Conf 2016;TOCS - TRANSFARMERS Questions;https://www.youtube.com/watch?v=mRQfD_62qxw;
SOFAB;2016;Sophia Conf 2016;TOCS - WHERE IS MY GPU Questions;https://www.youtube.com/watch?v=InDls10rjhE;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services;https://www.youtube.com/watch?v=DUzv6bz9B9s;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - FLOWERS IN THE AIR;https://www.youtube.com/watch?v=DgNgpIf10fg;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - IOT M2JOB;https://www.youtube.com/watch?v=5nikwr8i-bk;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - MAJORDOME;https://www.youtube.com/watch?v=eGc-ZyqAODk;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - PASSAGER CONNECTE;https://www.youtube.com/watch?v=uRjfmgLE-Pc;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - SELFBERRY;https://www.youtube.com/watch?v=kxjolDm1MI0;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - SIEGES D'AVION CONNECTES;https://www.youtube.com/watch?v=cyRa09Yb5Pg;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - TRANSFARMERS;https://www.youtube.com/watch?v=emHJiZaiN3o;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - URBAN VOICES;https://www.youtube.com/watch?v=XvPTB5mPcgk;
SOFAB;2016;Sophia Conf 2016;Trophée Objets Connectés & Services - WHERE IS MY GPU;https://www.youtube.com/watch?v=jJ7sUUvpy3g;
OPEN SOURCE;2016;Sophia Conf 2016;A. DELCASSE (SCITY.COOP) Economies collaborative, coopérative, sociale et solidaire;https://www.youtube.com/watch?v=74v2AZvRkyY;
OPEN SOURCE;2016;Sophia Conf 2016;A. DELCASSE Questions;https://www.youtube.com/watch?v=si7G_ap3Pcs;
OPEN SOURCE;2016;Sophia Conf 2016;C. DENEUX (Linagora) Déploiement élastique dans le cloud par Roboconf;https://www.youtube.com/watch?v=8lswaoW2gCw;
OPEN SOURCE;2016;Sophia Conf 2016;C. GROSJEAN (Forgerock) IoT & Identity Management;https://www.youtube.com/watch?v=fAuSn3I_2ak;
OPEN SOURCE;2016;Sophia Conf 2016;C. ULMER (France Labs) France Labs – Ethique, partage et rentabilité;https://www.youtube.com/watch?v=t7gPPXxLVcY;
OPEN SOURCE;2016;Sophia Conf 2016;C. ULMER Questions;https://www.youtube.com/watch?v=5qe-a7ZnjBA;
OPEN SOURCE;2016;Sophia Conf 2016;F. CLEMENT (Orange) Devops et architecture : « Je t’aime. – Moi non plus ! » ?;https://www.youtube.com/watch?v=kiXPWZMMrng;
